MEIJER THRIFTY ACRES #177,8401 TWENTY SIX MILE RD,WASHINGTON TWP,48094,42.75248,-83.032269
MEIJER THRIFTY ACRES #227, 6001 HIGHLAND RD,WHITE LAKE,48383,42.651482,-83.532114
MEIJER THRIFTY ACRES #53,4200 HIGHLAND RD,WATERFORD,48328,42.653121,-83.368318
MEIJER THRIFTY ACRES #237,29505 MOUND RD,WARREN,48092,42.509914,-83.049416
WALMART #3487 (SUPER),51450 SHELBY PARKWAY,SHELBY TOWNSHIP,48315,42.67956,-83.003907
MEIJER THRIFTY ACRES #63,30800 LITTLE MACK AVE,ROSEVILLE,48066,42.524531,-82.908431
MEIJER THRIFTY ACRES #65,15055 HALL RD,UTICA,48315,42.630028,-82.976713
MEIJER THRIFTY ACRES #222,1005 THIRTEEN MILE RD,MADISON HEIGHTS,48071,42.485869,-83.105203
MEIJER THRIFTY ACRES #122,49900 GRAND RIVER AVE,WIXOM,48393,42.49778,-83.54129
MEIJER THRIFTY ACRES #34,5150 COOLIDGE HWY,ROYAL OAK,48073,42.518324,-83.15954
MEIJER THRIFTY ACRES #243,40445 GROESBECK HWY,CLINTON TWP,48036,42.583236,-82.902201
BED BATH & BEYOND,12020 HALL RD,STERLING HEIGHT,48313,42.596418,-82.998534
WALMART #2873,2001 W MAPLE RD,TROY,48084,42.544272,-83.172554
WALMART #2559 (SUPER),33201 VAN DYKE RD,STERLING HEIGHT,48312,42.562608,-83.003907
MEIJER THRIFTY ACRES #242,36865 TWENTY SIX MILE RD,LENOX,48048,42.74401,-82.788639
MEIJER THRIFTY ACRES #145,34835 UTICA RD,FRASER,48026,42.551846,-82.962264
MEIJER THRIFTY ACRES #105,27255 TWENTY THREE MILE,CHESTERFIELD,48051,42.688367,-82.831749
MEIJER THRIFTY ACRES #197,900 N LAPEER RD,OXFORD,48371,42.840076,-83.270841
MEIJER THRIFTY ACRES #57,3175 S ROCHESTER RD,ROCHESTER,48306,42.743042,-83.136215
THE WOODSHOP,18 S MAIN ST,CLARKSTON,48346,42.735433,-83.418863
NINO SALVAGGIO,6835 ROCHESTER RD,TROY,48085,42.620648,-83.131582
RUDY'S MARKET,9 S MAIN ST,CLARKSTON,48346,42.735574,-83.419419
JOE'S UPTOWN MARKET,52 CROCKER RD,MOUNT CLEMENS,48043,42.594609,-82.875147
MEIJER THRIFTY ACRES #185,800 BROWN RD,AUBURN HILLS,48326,42.706011,-83.289025
MEIJER THRIFTY ACRES #260,3610 MARKET PLACE CIRCLE,ROCHESTER HILLS,48309,42.650976,-83.175619
NINO SALVAGGIO,17496 HALL RD,CLINTON TWP,48038,42.626904,-82.943197
MEIJER THRIFTY ACRES #231,28800 TELEGRAPH RD,SOUTHFIELD,48034,42.500353,-83.282434
MEIJER THRIFTY ACRES #109,1703 HAGGERTY RD,COMMERCE TWP,48390,42.551387,-83.475024
WALMART #5893,26090 INGERSOL RD,NOVI,48375,42.482311,-83.472113
LAKEVIEW FOOD BASKET,4710 CLARKSTON RD,CLARKSTON,48348,42.764127,-83.33934
KROGER #650,4888 ADAMS RD,OAKLAND TWP,48306,42.717206,-83.143457
WALMART #5048 (SUPER),30729 LYON CENTER DR,NEW HUDSON,48165,42.514173,-83.613123
BUSCH'S #1201,22385 PONTIAC TRAIL RD,SOUTH LYON,48178,42.46059,-83.651606
VARIETY FOODS,7001 CHICAGO RD,WARREN,48092,42.524797,-83.034711
HOLLYWOOD SUPERMARKET #1,29220 N CAMPBELL RD,MADISON HEIGHTS,48071,42.519304,-83.1257
DAVISBURG AND DIXIE MKT,9811 DIXIE HWY,CLARKSTON,48348,42.759669,-83.482903
WALMART #2692 (SUPER),45400 MARKETPLACE BLVD,CHESTERFIELD,48051,42.634797,-82.852857
SERRA'S MARKET,6115 TEN MILE RD,WARREN,48091,42.468867,-83.068352
BUECHE'S FOOD WORLD II,400 N ORTONVILLE RD,ORTONVILLE,48462,42.857598,-83.453672
NEIMAN'S FAMILY MARKET,7121 DIXIE HWY,CLARKSTON,48346,42.723061,-83.428663
CLARKSTON UNION,54 S MAIN ST,CLARKSTON,48346,42.734142,-83.418822
SANG MAIN STORE,SELFRIDGE AF  BLDG 700,MOUNT CLEMENS,,42.597256,-82.877975
JOY PARTY MART,24531 HENRY B. JOY BLVD,HARRISON TWP,48045,42.589612,-82.810198
RED WAGON WINE SHOP 2,2940 S ROCHESTER RD,ROCHESTER HILLS,48307,42.636973,-83.132565
VALUE CENTER #1228,37155 HARPER RD,CLINTON TWP,48036,42.570675,-82.873985
MEIJER THRIFTY ACRES #55,36600 VAN DYKE RD,STERLING HEIGHT,48312,42.562608,-83.003907
BED BATH & BEYOND  (FARM),31075 ORCHARD LAKE RD,FARMINGTON HILL,48334,42.504939,-83.346878
LAKEVIEW MARKET #1,9775 ELIZABETH LAKE RD,WHITE LAKE,48386,42.639575,-83.477584
CRYSTAL PALACE LIQUOR,2255 E WALTON BLVD,AUBURN HILLS,48326,42.678813,-83.246636
WALMART #2959,28804 GRATIOT AVE,ROSEVILLE,48066,42.508182,-82.925849
BEER WORLD,2041 S ORTONVILLE RD,ORTONVILLE,48462,42.822803,-83.439508
HOLLYWOOD SUPERMARKET #7,1101 S LAPEER RD,LAKE ORION,48360,42.766412,-83.238266
VALUE CENTER #1267,1485 W FOURTEEN MILE,MADISON HEIGHTS,48071,42.485869,-83.105203
TARGET #1251,650 BROWN RD,AUBURN HILLS,48326,42.706097,-83.291652
SUNSHINE MARKET,42355 THIRTEEN MILE RD,NOVI,48377,42.512312,-83.475024
HILLER'S MARKET #8,51847 TEN MILE RD,SOUTH LYON,48178,42.46059,-83.651606
SHEENA'S MARKETPLACE,70920 VAN DYKE RD,ROMEO,48065,42.816678,-83.018217
HOLLY PARTY SHOPPE,102 N SAGINAW ST,HOLLY,48442,42.79204,-83.627177
HOLLYWOOD SUPERMARKET #4,1525 OPDYKE RD,BLOOMFIELD HILL,48304,42.57679,-83.239894
WALMART #4660,18400 HALL RD,CLINTON TWP,48038,42.626031,-82.937742
WALMART #2354 (SUPER),2500 S ADAMS RD,ROCHESTER HILLS,48309,42.642926,-83.197676
CHESTERFIELD MARKET,52050 N GRATIOT AVE,CHESTERFIELD,48051,42.683411,-82.825061
MR PIZZA BOOTLEG P-S,2965 WALTON BLVD,ROCHESTER HILLS,48309,42.680149,-83.191441
VINSETTA GARAGE,27799 WOODWARD AVE,BERKLEY,48072,42.494857,-83.1645
BLUE DIAMOND PARTY STORE,21497 RYAN RD,WARREN,48091,42.453923,-83.064469
HOLLYWOOD SUPERMARKET #5,2020 AUBURN AVE,UTICA,48317,42.637791,-83.090569
BERKLEY MARATHON,3427 W TWELVE MILE RD,BERKLEY,48072,42.502683,-83.193898
BUSCEMI'S P/SHOPPE #27,2228 CROOKS RD,ROCHESTER HILLS,48309,42.649104,-83.172765
RYAN'S FRESH MARKET,20 E WALTON BLVD,PONTIAC,48340,42.676414,-83.299486
HILLER'S MARKET #6,39950 W FOURTEEN MILE RD,WALLED LAKE,X,0,0
A & B LIQUOR & TOBACCO,41910 HAYES RD,CLINTON TWP,48038,42.604599,-82.97229
SYLVAN QUALITY MARKET,2310-2322 ORCHARD LAKE RD,SYLVAN LAKE,48320,42.611292,-83.329158
WALMART #2700,9190 HIGHLAND RD,WHITE LAKE,48336,42.465835,-83.346878
HATCHERY MARKET,4850 HATCHERY RD,WATERFORD,48329,42.675372,-83.382818
HAMLET FOOD MARKET,1051 NOVI RD,NORTHVILLE,48167,42.443544,-83.474821
SEVEN LAKES PARTY STORE,3024 GRANGE HALL RD,HOLLY,48442,42.804663,-83.646669
ORCHARD MARKET PLACE,31511 W THIRTEEN MILE RD,FARMINGTON HILL,48334,42.504939,-83.346878
COMMERCE WINE SHOPPE,420 W COMMERCE RD,COMMERCE TWP,48382,42.592855,-83.517682
VINTAGE VILLAGE FINE WINE,28927 SOUTHFIELD RD,LATHRUP VILLAGE,48076,42.501884,-83.222963
TOWN & COUNTRY,16261 W TWELVE MILE RD,SOUTHFIELD,48076,42.528654,-83.350939
ORION KEG & WINE P.S.,2250 BALDWIN RD,LAKE ORION,48360,42.747338,-83.308468
NICKY D'S SPORTS BAR,2100 FOURTEEN MILE RD,WARREN,48092,42.534377,-83.085018
UNCLE BOOMBA'S,1010 S LAPEER RD,OXFORD,48371,42.810016,-83.252427
PONTIAC FOODLAND,1925 N PERRY ST,PONTIAC,48340,42.677526,-83.253456
TOM'S MKT,465 SOUTH ST,ORTONVILLE,48462,42.844687,-83.447236
CVS #8110,110 N ROCHESTER RD,CLAWSON,48017,42.534688,-83.135039
TOWNS MART,13200 THIRTY TWO MILE RD,WASHINGTON TWP,48095,42.77944,-83.046877
FAMOUS MKT.,9610 HIGHLAND RD,WHITE LAKE,48386,42.656235,-83.473428
NICK'S SHORT STOP,19070 CASS AVE,CLINTON TWP,48038,42.610213,-82.928644
PINE KNOB WINE SHOPPE,5726 MAYBEE RD,CLARKSTON,48346,42.719509,-83.378044
RED WAGON SHOP,1613 LIVERNOIS RD,TROY,48083,42.54872,-83.147499
VINEYARD P/S III,45747 MOUND RD,UTICA,48317,42.630334,-83.05295
WINE VILLAGE PARTY STORE,15005 THIRTEEN MILE RD,WARREN,48088,42.52225,-82.982412
BB'S LIQUOR & WINE SHOP,13595 TWENTY ONE MILE RD,UTICA,48315,42.664906,-83.067619
USA 2 GO  (NOVI),47300 CITY GATE DR,NOVI,48374,42.475629,-83.517682
CHICAGO DELI,8701 THIRTEEN MILE RD,WARREN,48093,42.519011,-83.00928
ESSENCE ON MAIN,4 S MAIN ST,CLARKSTON,48346,42.735717,-83.418891
NINO SALVAGGIO,27900 HARPER RD,ST CLAIR SHORES,48081,42.497938,-82.897299
BUSCEMI'S P/SHOPPE #22,54800 N GRATIOT AVE,CHESTERFIELD,48047,42.702399,-82.809797
HOLLY PARTY SHOPPE-NORTH,15228 N HOLLY RD,HOLLY,48442,42.807291,-83.628993
SUNRISE CONVENIENCE STORE,23120 E MAIN ST,ARMADA,48005,42.843768,-82.882875
BUSCEMI'S P/SHOPPE,58876-80 VAN DYKE RD,WASHINGTON TWP,48094,42.75248,-83.032269
USA 2 GO  (COMMERCE TWP),40300 W FOURTEEN MILE RD,COMMERCE TWP,48390,42.551387,-83.475024
VALUE FRESH MARKETPLACE,24800 HOOVER RD,WARREN,48089,42.476247,-83.004504
BEST PRICE BEER & TABACCO,22200 MIDDLEBELT RD,FARMINGTON HILL,48336,42.465835,-83.346878
MAJESTIC SUPER MARKET,25877 LAHSER RD,SOUTHFIELD,48033,42.478105,-83.261002
WALMART #2618 (SUPER),3301 PONTIAC TRAIL RD,WALLED LAKE,48390,42.537811,-83.481048
GOLDEN OAKS LIQUOR,24185 HAGGERTY RD,NOVI,48375,42.467874,-83.434956
WALLED LAKE MARATHON,1101 N PONTIAC TRAIL,WALLED LAKE,48390,42.542691,-83.477388
BUSCH'S #1097,3188 WALTON BLVD,ROCHESTER HILLS,48309,42.681892,-83.196483
ROMEO VILLAGE MARKET,151 S MAIN ST,ROMEO,48065,42.80094,-83.013057
HILLER'S MARKET #2,3010 UNION LAKE RD,COMMERCE TWP,48382,42.592855,-83.517682
BUSCH'S #1044,24445 DRAKE RD,FARMINGTON HILL,48335,42.464344,-83.405644
BEE BEE'S P/S-SCH,30913 SCHOENHERR RD,WARREN,48088,42.521106,-82.988828
PICOLO'S PARTY SHOPPE,13459 TWENTY THREE MILE R,UTICA,48315,42.626145,-83.033538
ARMADA FUEL STOP,16567 THIRTY TWO MILE RD,ARMADA,48005,42.844196,-82.884372
FARM. HILLS WINE & LIQUOR,24233 ORCHARD LAKE RD,FARMINGTON HILL,48336,42.465835,-83.346878
PRODUCE PALACE,29300 DEQUINDRE RD,WARREN,48092,42.507619,-83.084667
MAC'S FINER FOODS,1039 W TWELVE MILE RD,MADISON HEIGHTS,48071,42.504,-83.116655
THE WINE GARDEN,22425 HARPER RD,ST CLAIR SHORES,48080,42.461733,-82.910156
ORTONVILLE PARTY SHOP,1970 S ORTONVILLE RD,ORTONVILLE,48462,42.822832,-83.44141
JEWELL MINI MART,11531 TWENTY SIX MILE RD,WASHINGTON TWP,48094,42.75248,-83.032269
BP GAS (ELIZABETH LK),3925 ELIZABETH LAKE RD,WATERFORD,48328,42.638822,-83.364778
BB'S LIQUOR & WINE,21790 TWENTY THREE MILE R,MACOMB,48042,42.700963,-82.958895
NOVI PARTY STORE,43025 GRAND RIVER AVE,NOVI,48375,42.479288,-83.470883
CHATEAU DE VIN,1020 E AUBURN AVE,ROCHESTER HILLS,48307,42.636425,-83.11128
SAVE-A-LOT,700 HIGHLAND RD,HIGHLAND,48357,42.642594,-83.626394
SEVEN STAR PARTY STOP,55150 SHELBY RD,SHELBY TOWNSHIP,48316,42.683483,-83.068352
GRAPE VINE WINE SHOPE,8230 FIFTEEN MILE RD,STERLING HEIGHT,48312,42.562608,-83.003907
BUSCH'S #1199,33300 W FOURTEEN MILE RD,WEST BLOOMFIELD,48334,42.504939,-83.346878
TENUTAS FOOD LANE,3515 SASHABAW RD,WATERFORD,48329,42.690341,-83.373442
TROY CHEESE AND WINE,2558 E MAPLE RD,TROY,48083,42.548825,-83.096109
VINTAGE WINE II,41455 TEN MILE RD,NOVI,48375,42.47199,-83.453684
EXPRESS PARTY STORE,704 S LAPEER RD,LAKE ORION,48362,42.772444,-83.23883
HOLLY FOOD,15191 N HOLLY RD,HOLLY,48442,42.808491,-83.62685
SHERWOOD PARTY STORE,1330 E COMMERCE RD,MILFORD,48381,42.594946,-83.588029
TRIPPLE NICKEL,555 S OLD WOODWARD AVE,BIRMINGHAM,48009,42.542576,-83.209579
KING FOOD CENTER,31328 HARPER RD,ST CLAIR SHORES,48082,42.526221,-82.894695
HAPPY DAYS PARTY SHOP,32855 SCHOENHERR RD,WARREN,48088,42.536992,-82.989548
MORAVIAN LIQUOR SHOP,35906 UTICA RD,CLINTON TWP,48035,42.560658,-82.964582
PINE RIDGE MARKET,1085 S MILFORD RD,HIGHLAND,48357,42.632755,-83.61665
VINCE & JOE'S,41790 GARFIELD RD,CLINTON TWP,48038,42.604992,-82.952606
FRANK'S FOOD MARKET,2970 W ELEVEN MILE RD,BERKLEY,48072,42.48893,-83.187677
DIAMOND DOT MARKET,38500 HAYES RD,CLINTON TWP,48038,42.579086,-82.970781
A & B PARTY STORE,46778 VAN DYKE RD,UTICA,48317,42.638879,-83.032313
OAK RIDGE MARKET #2,30790 HOOVER RD,WARREN,48093,42.520564,-83.007546
NORTH VILLAGE MARKET,59069 GRATIOT AVE,NEW HAVEN,48048,42.734959,-82.785339
B & B LIQUOR (22 MILE),48806 HAYES,MACOMB TOWNSHIP,48044,42.654793,-82.917884
COUNTRY LIQUOR,8960 SASHABAW RD,CLARKSTON,48348,42.768573,-83.380231
FARMINGTON LIQUOR,29450 W TEN MILE RD,FARMINGTON HILL,48336,42.465835,-83.346878
CVS #8100,24001 HARPER RD,ST CLAIR SHORES,48080,42.471986,-82.906228
DISCOUNT DRINKS,37701 W TWELVE MILE RD,FARMINGTON HILL,48331,42.508645,-83.410983
QUICK CORNER MARKET,305 UNION LAKE RD,WHITE LAKE,48386,42.637465,-83.467819
COUNTRY LAKE FOOD CENTER,2150 N MILFORD RD,HIGHLAND,48357,42.659033,-83.617923
LAKES VILLAGE STOP,415 S BROADWAY ST,LAKE ORION,48362,42.778008,-83.238726
WINE VALLEY LIQUOR,50093 GRATIOT AVE,CHESTERFIELD,48051,42.668602,-82.838825
A & A SPECIALTY FOOD,3019 CROOKS RD,ROCHESTER HILLS,48309,42.634673,-83.169794
CLINTONVILLE MARKET,4494 CLINTONVILLE RD,WATERFORD,48329,42.705194,-83.348297
CRACKER BARREL #2,5500 OAKHILL RD,CLARKSTON,48348,42.796034,-83.449459
ROYAL LIQUOR 2,30444 W EIGHT MILE RD,FARMINGTON HILL,48336,42.465835,-83.346878
FOOD CASTLE,7770 COOLEY LAKE RD,WATERFORD,48327,42.615471,-83.438548
QUICK STOP MARKET,6984 PONTIAC TRAIL RD,WEST BLOOMFIELD,48323,42.56935,-83.362911
GIN MILL PARTY STORE,8240 HIGHLAND RD,WHITE LAKE,48386,42.65995,-83.448322
LAKEWAYS MARKET,3468 PONTIAC LAKE RD,WATERFORD,48328,42.654293,-83.355147
CVS #8048,23391 FARMINGTON RD,FARMINGTON,48336,42.46374,-83.376822
MOONLITE PARTY STORE,33452 HARPER RD,CLINTON TWP,48035,42.541137,-82.880806
LAFAYETTE LIQUOR,264 N LAFAYETTE RD,SOUTH LYON,48178,42.462284,-83.65105
WALMART #2558,44575 MOUND RD,STERLING HEIGHT,48314,42.605543,-83.068352
CAPTAINS PARTY STORE,25450 N RIVER RD,HARRISON TWP,48045,42.589612,-82.810198
LIQUOR RESORT,395 N GROESBECK HWY,MOUNT CLEMENS,48043,42.612394,-82.8916
EMBASSY WINE & LIQUOR,29010 BEACONSFIELD ST,ROSEVILLE,48066,42.518033,-82.919224
MARINA VILLAGE,47240 JEFFERSON AVE,NEW BALTIMORE,48047,42.647717,-82.808534
HILLER'S MARKET #3,6433 ORCHARD LAKE RD,WEST BLOOMFIELD,48322,42.543735,-83.36075
BUGSY'S SPORTS PUB,50225 GRATIOT AVE,CHESTERFIELD,48051,42.669432,-82.837749
JAKE O'MALLEY'S IRISH PUB,11417 TWENTY SIX MILE RD,WASHINGTON TWP,48094,42.75248,-83.032269
BEVERAGE WAREHOUSE,31111 GREENFIELD RD,BEVERLY HILLS,48025,42.518417,-83.203812
LUCKY'S LIQUOR,17024 E NINE MILE RD,EASTPOINTE,48021,42.46837,-82.955475
BERKLEY FINE WINE & LIQ,2941 COOLIDGE HWY,BERKLEY,48072,42.498845,-83.184002
BUSCEMI'S P/SHOPPE #24,3176 ROCHESTER RD,TROY,48083,42.565554,-83.12744
WALTON LIQUOR,4120 WALTON BLVD,WATERFORD,48329,42.690025,-83.370336
BUSCEMI'S P/SHOPPE #5,42990 GARFIELD RD,CLINTON TWP,48038,42.612588,-82.952374
PALACE LIQUOR & DELI SHOP,650 W FOURTEEN MILE RD,CLAWSON,48017,42.533273,-83.155702
OAKCREST,1955 OAKCREST RD,STERLING HEIGHT,48310,42.56653,-83.068352
WINE DEPOT PARTY STORE,23550 VAN DYKE RD,WARREN,48089,42.467637,-83.026455
GRACELAND PARTY STORE,7505 HIGHLAND RD,WHITE LAKE,48383,42.649674,-83.512419
T J'S MARKET,1830 WELCH RD,COMMERCE TWP,48390,42.551387,-83.475024
SEVEN-ELEVEN #33602,7743 SASHABAW RD,CLARKSTON,48348,42.75097,-83.381305
FRESH APPROACH (ROYAL OAK,805 S CAMPBELL RD,ROYAL OAK,48067,42.492295,-83.132733
NOVI FINE WINE,43340 TEN MILE RD,NOVI,48375,42.47199,-83.453684
METRO PARTY SHOPPE,38666 JEFFERSON AVE,HARRISON TWP,48045,42.589612,-82.810198
WINE CAPTAIN,5380 HIGHLAND RD,WATERFORD,48327,42.660673,-83.395041
